SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
    1.27,    1.02,    9.11,    8.87,    1.06,    0.81,    1.02,    0.77,   12.45,   11.47,4268479109,   23.92,     12.45,     11.47,     23.92
    1.52,    1.07,    9.42,    8.98,    1.41,    0.97,    1.36,    0.90,   13.70,   11.92,4264075704,   25.63,     13.70,     11.92,     25.63
    1.23,    0.90,    9.20,    8.85,    1.15,    0.80,    1.10,    0.75,   12.69,   11.31,4264451789,   24.00,     12.69,     11.31,     24.00
    1.05,    0.80,    9.09,    8.84,    0.96,    0.71,    0.97,    0.72,   12.07,   11.08,4268469411,   23.15,     12.07,     11.08,     23.15
    0.98,    0.76,    8.95,    8.72,    0.99,    0.77,    0.95,    0.71,   11.87,   10.95,4263813766,   22.82,     11.87,     10.95,     22.82
    1.01,    0.78,    8.98,    8.73,    1.04,    0.80,    0.97,    0.73,   11.99,   11.04,4263970835,   23.03,     11.99,     11.04,     23.03
    1.14,    0.91,    9.00,    8.76,    1.02,    0.77,    0.97,    0.72,   12.14,   11.15,4268474161,   23.29,     12.14,     11.15,     23.29
    1.30,    0.93,    9.18,    8.82,    1.17,    0.81,    1.11,    0.74,   12.76,   11.30,4263798405,   24.06,     12.76,     11.30,     24.06
    1.11,    0.87,    8.97,    8.73,    0.97,    0.73,    0.89,    0.65,   11.93,   10.99,4264017720,   22.92,     11.93,     10.99,     22.92
    1.11,    0.84,    8.95,    8.69,    1.04,    0.78,    1.00,    0.74,   12.10,   11.05,4268231254,   23.15,     12.10,     11.05,     23.15
    0.96,    0.72,    8.88,    8.63,    0.97,    0.73,    0.88,    0.64,   11.69,   10.72,4263982345,   22.41,     11.69,     10.72,     22.41
    0.93,    0.70,    8.83,    8.59,    0.93,    0.69,    0.85,    0.60,   11.54,   10.58,4263974632,   22.12,     11.54,     10.58,     22.12
    1.11,    0.82,    8.94,    8.64,    0.98,    0.69,    0.96,    0.66,   11.99,   10.81,4268237397,   22.80,     11.99,     10.81,     22.80
    1.16,    0.83,    9.10,    8.76,    1.04,    0.70,    1.03,    0.70,   12.33,   10.99,4263964837,   23.32,     12.33,     10.99,     23.32
    1.11,    0.86,    8.97,    8.74,    1.03,    0.79,    1.01,    0.76,   12.11,   11.15,4268244732,   23.26,     12.11,     11.15,     23.26
    1.01,    0.79,    8.92,    8.69,    0.89,    0.67,    0.92,    0.68,   11.74,   10.83,4263977971,   22.57,     11.74,     10.83,     22.57
    1.24,    0.98,    9.05,    8.81,    1.04,    0.79,    1.00,    0.75,   12.33,   11.33,4264286598,   23.66,     12.33,     11.33,     23.66
    1.19,    0.94,    9.05,    8.81,    1.03,    0.78,    1.04,    0.78,   12.32,   11.31,4268237074,   23.63,     12.32,     11.31,     23.63
    1.18,    0.95,    9.02,    8.80,    1.08,    0.85,    1.02,    0.78,   12.29,   11.38,4263959971,   23.67,     12.29,     11.38,     23.67
    1.44,    1.11,    9.43,    9.08,    1.44,    1.09,    1.40,    1.05,   13.71,   12.33,4263990700,   26.03,     13.71,     12.33,     26.03
    1.30,    1.04,    9.30,    9.06,    1.36,    1.10,    1.26,    0.99,   13.22,   12.20,4268243794,   25.42,     13.22,     12.20,     25.42
    1.17,    0.95,    9.17,    8.94,    1.26,    1.02,    1.21,    0.97,   12.82,   11.87,4263970842,   24.70,     12.82,     11.87,     24.70
    1.16,    0.94,    9.11,    8.88,    1.20,    0.97,    1.21,    0.97,   12.67,   11.76,4263970772,   24.43,     12.67,     11.76,     24.43
    1.17,    0.95,    9.13,    8.89,    1.23,    1.00,    1.25,    1.02,   12.78,   11.87,4268241320,   24.64,     12.78,     11.87,     24.64
    1.25,    0.94,    9.31,    9.00,    1.36,    1.05,    1.42,    1.10,   13.34,   12.09,4263969774,   25.43,     13.34,     12.09,     25.43
    1.11,    0.87,    9.21,    8.97,    1.13,    0.89,    1.20,    0.95,   12.65,   11.68,4268244999,   24.33,     12.65,     11.68,     24.33
    1.20,    0.91,    9.27,    8.96,    1.23,    0.93,    1.25,    0.94,   12.95,   11.74,4264230796,   24.69,     12.95,     11.74,     24.69
    1.30,    0.97,    9.30,    8.97,    1.21,    0.87,    1.21,    0.88,   13.03,   11.69,4263970751,   24.72,     13.03,     11.69,     24.72
    1.13,    0.88,    9.15,    8.90,    1.07,    0.80,    1.13,    0.86,   12.47,   11.44,4268225682,   23.91,     12.47,     11.44,     23.91
    1.13,    0.86,    9.15,    8.88,    1.09,    0.79,    1.10,    0.80,   12.47,   11.33,4264259760,   23.81,     12.47,     11.33,     23.81
